X0,X1,X2,X3,X4,Y
0.53,0.386,0.0,0.506,0.356,3.0
0.53,0.386,0.0204081632653061,0.506,0.356,3.0918367346938775
0.53,0.386,0.0408163265306122,0.506,0.356,3.183673469387755
0.53,0.386,0.0612244897959183,0.506,0.356,3.2755102040816326
0.53,0.386,0.0816326530612244,0.506,0.356,3.36734693877551
0.53,0.386,0.1020408163265306,0.506,0.356,3.4591836734693877
0.53,0.386,0.1224489795918367,0.506,0.356,3.5510204081632653
0.53,0.386,0.1428571428571428,0.506,0.356,3.642857142857143
0.53,0.386,0.1632653061224489,0.506,0.356,3.73469387755102
0.53,0.386,0.183673469387755,0.506,0.356,3.826530612244898
0.53,0.386,0.2040816326530612,0.506,0.356,3.9183673469387754
0.53,0.386,0.2244897959183673,0.506,0.356,4.0102040816326525
0.53,0.386,0.2448979591836734,0.506,0.356,4.1020408163265305
0.53,0.386,0.2653061224489795,0.506,0.356,4.1938775510204085
0.53,0.386,0.2857142857142857,0.506,0.356,4.285714285714286
0.53,0.386,0.3061224489795918,0.506,0.356,4.377551020408163
0.53,0.386,0.3265306122448979,0.506,0.356,4.469387755102041
0.53,0.386,0.3469387755102041,0.506,0.356,4.561224489795919
0.53,0.386,0.3673469387755101,0.506,0.356,4.653061224489796
0.53,0.386,0.3877551020408163,0.506,0.356,4.744897959183673
0.53,0.386,0.4081632653061224,0.506,0.356,4.836734693877551
0.53,0.386,0.4285714285714285,0.506,0.356,4.928571428571429
0.53,0.386,0.4489795918367346,0.506,0.356,5.020408163265306
0.53,0.386,0.4693877551020408,0.506,0.356,5.112244897959183
0.53,0.386,0.4897959183673469,0.506,0.356,5.204081632653061
0.53,0.386,0.5102040816326531,0.506,0.356,5.295918367346939
0.53,0.386,0.5306122448979591,0.506,0.356,5.387755102040816
0.53,0.386,0.5510204081632653,0.506,0.356,5.479591836734693
0.53,0.386,0.5714285714285714,0.506,0.356,5.571428571428571
0.53,0.386,0.5918367346938775,0.506,0.356,5.663265306122449
0.53,0.386,0.6122448979591836,0.506,0.356,5.755102040816326
0.53,0.386,0.6326530612244897,0.506,0.356,5.846938775510203
0.53,0.386,0.6530612244897959,0.506,0.356,5.938775510204081
0.53,0.386,0.673469387755102,0.506,0.356,6.030612244897959
0.53,0.386,0.6938775510204082,0.506,0.356,6.122448979591837
0.53,0.386,0.7142857142857142,0.506,0.356,6.2142857142857135
0.53,0.386,0.7346938775510203,0.506,0.356,6.3061224489795915
0.53,0.386,0.7551020408163265,0.506,0.356,6.3979591836734695
0.53,0.386,0.7755102040816326,0.506,0.356,6.489795918367347
0.53,0.386,0.7959183673469387,0.506,0.356,6.581632653061224
0.53,0.386,0.8163265306122448,0.506,0.356,6.673469387755102
0.53,0.386,0.836734693877551,0.506,0.356,6.76530612244898
0.53,0.386,0.8571428571428571,0.506,0.356,6.857142857142857
0.53,0.386,0.8775510204081632,0.506,0.356,6.948979591836735
0.53,0.386,0.8979591836734693,0.506,0.356,7.040816326530612
0.53,0.386,0.9183673469387754,0.506,0.356,7.13265306122449
0.53,0.386,0.9387755102040816,0.506,0.356,7.224489795918367
0.53,0.386,0.9591836734693876,0.506,0.356,7.316326530612245
0.53,0.386,0.979591836734694,0.506,0.356,7.408163265306122
0.53,0.386,1.0,0.506,0.356,7.5
