X0,X1,X2,X3,X4,Y
0.315,0.581,0.595,0.0,0.61,4.0
0.315,0.581,0.595,0.0204081632653061,0.61,4.020408163265306
0.315,0.581,0.595,0.0408163265306122,0.61,4.040816326530612
0.315,0.581,0.595,0.0612244897959183,0.61,4.061224489795919
0.315,0.581,0.595,0.0816326530612244,0.61,4.081632653061225
0.315,0.581,0.595,0.1020408163265306,0.61,4.1020408163265305
0.315,0.581,0.595,0.1224489795918367,0.61,4.122448979591836
0.315,0.581,0.595,0.1428571428571428,0.61,4.142857142857143
0.315,0.581,0.595,0.1632653061224489,0.61,4.163265306122449
0.315,0.581,0.595,0.183673469387755,0.61,4.183673469387755
0.315,0.581,0.595,0.2040816326530612,0.61,4.204081632653061
0.315,0.581,0.595,0.2244897959183673,0.61,4.224489795918367
0.315,0.581,0.595,0.2448979591836734,0.61,4.244897959183674
0.315,0.581,0.595,0.2653061224489795,0.61,4.26530612244898
0.315,0.581,0.595,0.2857142857142857,0.61,4.285714285714286
0.315,0.581,0.595,0.3061224489795918,0.61,4.3061224489795915
0.315,0.581,0.595,0.3265306122448979,0.61,4.326530612244898
0.315,0.581,0.595,0.3469387755102041,0.61,4.346938775510204
0.315,0.581,0.595,0.3673469387755101,0.61,4.36734693877551
0.315,0.581,0.595,0.3877551020408163,0.61,4.387755102040816
0.315,0.581,0.595,0.4081632653061224,0.61,4.408163265306122
0.315,0.581,0.595,0.4285714285714285,0.61,4.428571428571429
0.315,0.581,0.595,0.4489795918367346,0.61,4.448979591836735
0.315,0.581,0.595,0.4693877551020408,0.61,4.469387755102041
0.315,0.581,0.595,0.4897959183673469,0.61,4.489795918367347
0.315,0.581,0.595,0.5102040816326531,0.61,4.510204081632653
0.315,0.581,0.595,0.5306122448979591,0.61,4.530612244897959
0.315,0.581,0.595,0.5510204081632653,0.61,4.551020408163265
0.315,0.581,0.595,0.5714285714285714,0.61,4.571428571428571
0.315,0.581,0.595,0.5918367346938775,0.61,4.591836734693878
0.315,0.581,0.595,0.6122448979591836,0.61,4.612244897959184
0.315,0.581,0.595,0.6326530612244897,0.61,4.63265306122449
0.315,0.581,0.595,0.6530612244897959,0.61,4.653061224489796
0.315,0.581,0.595,0.673469387755102,0.61,4.673469387755102
0.315,0.581,0.595,0.6938775510204082,0.61,4.6938775510204085
0.315,0.581,0.595,0.7142857142857142,0.61,4.714285714285714
0.315,0.581,0.595,0.7346938775510203,0.61,4.73469387755102
0.315,0.581,0.595,0.7551020408163265,0.61,4.755102040816326
0.315,0.581,0.595,0.7755102040816326,0.61,4.775510204081632
0.315,0.581,0.595,0.7959183673469387,0.61,4.795918367346939
0.315,0.581,0.595,0.8163265306122448,0.61,4.816326530612245
0.315,0.581,0.595,0.836734693877551,0.61,4.836734693877551
0.315,0.581,0.595,0.8571428571428571,0.61,4.857142857142857
0.315,0.581,0.595,0.8775510204081632,0.61,4.877551020408164
0.315,0.581,0.595,0.8979591836734693,0.61,4.8979591836734695
0.315,0.581,0.595,0.9183673469387754,0.61,4.918367346938775
0.315,0.581,0.595,0.9387755102040816,0.61,4.938775510204081
0.315,0.581,0.595,0.9591836734693876,0.61,4.959183673469388
0.315,0.581,0.595,0.979591836734694,0.61,4.979591836734694
0.315,0.581,0.595,1.0,0.61,5.0
